,,Correlation
Goldfinger SOB,Rupert Beae,0.3759396163915747
Goldfinger SOB,Telegram,0.7484551991837488
Goldfinger SOB,Twi Grey,0.23494835587210927
Goldfinger SOB,Twilight G,0.25617319916653586
Goldfinger SOB,Twilight Grey,0.4542440577669091
Goldfinger SOB,TwilightGrey,0.9207368843792509
Goldfinger SOB,Unmatched Telegram User,-0.014226319992543994
Goldfinger SOB,blondtrip24,-0.11903843469186955
Goldfinger SOB,kikteam,-0.055555555555555546
Goldfinger SOB,ladyancy96,-0.07909649964604157
Goldfinger SOB,maverick,0.6998093293157293
Goldfinger SOB,status@broadcast,-0.09523809523809527
Goldy Finger,46708275344@s.whatsapp.net,0.5366673667172502
Goldy Finger,Bad Boy,0.5091405857024909
Goldy Finger,Big Boss,0.34944986570924913
Goldy Finger,Dadusko,0.12956442207352362
Goldy Finger,Goldfinger,0.859785665372796
Goldy Finger,Goldfinger SOB,0.3721667349695454
Goldy Finger,Gooooosssse,-0.04180847627355237
Goldy Finger,Goose,0.3283595167517035
Goldy Finger,Goose System,0.5546524796197504
Goldy Finger,Goose.4444,0.27908704850259336
Goldy Finger,Jose Topgun,0.7586714535490309
Goldy Finger,KakaoKalk,-0.23696009342630237
Goldy Finger,KakaoTalk,-0.05157366739278345
Goldy Finger,Maverick,0.5050253540830822
Goldy Finger,Maverick SOB,0.4963079219972365
Goldy Finger,Maverick.4444,0.23330333254572153
Goldy Finger,Michael Jonson,-0.06863436848731004
Goldy Finger,Mike Jonson,-0.015918063064403146
Goldy Finger,Mike.Jonson,0.07790047816888389
Goldy Finger,Rupert Beae,0.4718613573879649
Goldy Finger,Telegram,0.39207566500628077
Goldy Finger,Twi Grey,0.5880538437622919
Goldy Finger,Twilight G,0.507397466376373
Goldy Finger,Twilight Grey,0.5852107321132861
Goldy Finger,TwilightGrey,0.3331258444800492
Goldy Finger,Unmatched Telegram User,-0.02337936273558457
Goldy Finger,blondtrip24,0.0005194193912084963
Goldy Finger,kikteam,-0.025089892245137888
Goldy Finger,ladyancy96,0.001984522653086784
Goldy Finger,maverick,0.1318476329666307
Goldy Finger,status@broadcast,-0.14516294798972637
Gooooosssse,46708275344@s.whatsapp.net,0.17209655519804642
Gooooosssse,Bad Boy,0.48255530837364785
Gooooosssse,Big Boss,0.28223309546611475
Gooooosssse,Dadusko,-0.1545696830428667
Gooooosssse,Goldfinger,-0.06828868398348367
Gooooosssse,Goldfinger SOB,0.3761034844843336
Gooooosssse,Goldy Finger,-0.04180847627355237
Gooooosssse,Goose,0.3816660037988234
Gooooosssse,Goose System,0.2926744104360702
Gooooosssse,Goose.4444,0.2161001756636017
Gooooosssse,Jose Topgun,0.020598510481752638
Gooooosssse,KakaoKalk,-0.1201441686547177
Gooooosssse,KakaoTalk,0.4753530151121439
Gooooosssse,Maverick,0.29886846303093967
Gooooosssse,Maverick SOB,0.37209327367535955
Gooooosssse,Maverick.4444,0.4772803254810371
Gooooosssse,Michael Jonson,0.5191567501878497
Gooooosssse,Mike Jonson,0.07332457675458665
Gooooosssse,Mike.Jonson,0.12548439327639732
Gooooosssse,Rupert Beae,0.26750292799829295
Gooooosssse,Telegram,0.2004597059771352
Gooooosssse,Twi Grey,0.08836489531736556
Gooooosssse,Twilight G,0.18269692641928958
Gooooosssse,Twilight Grey,0.14211699695264707
Gooooosssse,TwilightGrey,0.2986144181919272
Gooooosssse,Unmatched Telegram User,0.17255583478886424
Gooooosssse,blondtrip24,-0.06326304467144
Gooooosssse,kikteam,-0.020894638026907428
Gooooosssse,ladyancy96,0.2811230332538364
Gooooosssse,maverick,0.8537876351105276
Gooooosssse,status@broadcast,-0.20596143197951605
Goose,46708275344@s.whatsapp.net,0.7982536669818557
Goose,Bad Boy,0.7086045394668459
Goose,Big Boss,0.8058201778984087
Goose,Dadusko,-0.1454019313650883
Goose,Goldfinger,0.44430092170347213
Goose,Goldfinger SOB,0.6629137341509671
Goose,Goldy Finger,0.32835951675170355
Goose,Gooooosssse,0.3816660037988234
Goose,Goose System,0.8639769181537761
Goose,Goose.4444,0.6325218910823001
Goose,Jose Topgun,0.6365270201382444
Goose,KakaoKalk,-0.20324289270531082
Goose,KakaoTalk,-0.13106317380062094
Goose,Maverick,0.8367302631549799
Goose,Maverick SOB,0.8901371800943274
Goose,Maverick.4444,0.6584528709634848
Goose,Michael Jonson,-0.008750425670589103
Goose,Mike Jonson,0.4492009507172356
Goose,Mike.Jonson,-0.15284148856483892
Goose,Rupert Beae,0.7471882185504775
Goose,Telegram,0.7343548096317023
Goose,Twi Grey,0.4293991160514736
Goose,Twilight G,0.4724719961453131
Goose,Twilight Grey,0.5798158959819492
Goose,TwilightGrey,0.6724934037701586
Goose,Unmatched Telegram User,0.06347565333632571
Goose,blondtrip24,-0.2001363943346996
Goose,kikteam,0.4463745774368974
Goose,ladyancy96,0.008653889346891023
Goose,maverick,0.45725058455814627
Goose,status@broadcast,0.06919484331088686
Goose System,46708275344@s.whatsapp.net,0.8948826601713497
Goose System,Bad Boy,0.75814050899036
Goose System,Big Boss,0.8682657155460163
Goose System,Dadusko,-0.04640341722837867
Goose System,Goldfinger,0.5307260800753203
Goose System,Goldfinger SOB,0.8068289550122999
Goose System,Goldy Finger,0.5546524796197504
Goose System,Gooooosssse,0.2926744104360702
Goose System,Goose,0.863976918153776
Goose System,Goose.4444,0.7220967562484699
Goose System,Jose Topgun,0.7721757374594046
Goose System,KakaoKalk,-0.1578469108248363
Goose System,KakaoTalk,-0.1578469108248362
Goose System,Maverick,0.9557157833196778
Goose System,Maverick SOB,0.9492696387035545
Goose System,Maverick.4444,0.6716001633218909
Goose System,Michael Jonson,-0.13188761301198407
Goose System,Mike Jonson,0.2596503753838692
Goose System,Mike.Jonson,-0.10281631161656926
Goose System,Rupert Beae,0.6317967109436797
Goose System,Telegram,0.7150048042782055
Goose System,Twi Grey,0.4668052631156503
Goose System,Twilight G,0.502655192111454
Goose System,Twilight Grey,0.7093999865873933
Goose System,TwilightGrey,0.8357896510280821
Goose System,Unmatched Telegram User,0.07086451844564637
Goose System,blondtrip24,-0.1406819060039162
Goose System,kikteam,0.38657412237037925
Goose System,ladyancy96,-0.04523278067626922
Goose System,maverick,0.49438238266030576
Goose System,status@broadcast,-0.09457888150878492
Goose.4444,46708275344@s.whatsapp.net,0.5931882272374411
Goose.4444,Bad Boy,0.6194537773843157
Goose.4444,Big Boss,0.6393138948984589
Goose.4444,Dadusko,-0.14607949895422268
Goose.4444,Goldfinger,0.25505339586980014
Goose.4444,Goldfinger SOB,0.8535444574184737
Goose.4444,Goldy Finger,0.27908704850259336
Goose.4444,Gooooosssse,0.21610017566360173
Goose.4444,Goose,0.6325218910823002
Goose.4444,Goose System,0.72209675624847
Goose.4444,Jose Topgun,0.40256823557850585
Goose.4444,KakaoKalk,-0.11354490488594383
Goose.4444,KakaoTalk,-0.11354490488594374
Goose.4444,Maverick,0.7251889808115085
Goose.4444,Maverick SOB,0.625724032499463
Goose.4444,Maverick.4444,0.6862780334084619
Goose.4444,Michael Jonson,-0.2294558473232825
Goose.4444,Mike Jonson,0.3763342201601946
Goose.4444,Mike.Jonson,-0.13467596662945516
Goose.4444,Rupert Beae,0.453997820917022
Goose.4444,Telegram,0.6185929879720686
Goose.4444,Twi Grey,0.1274483874928083
Goose.4444,Twilight G,0.27115214733555126
Goose.4444,Twilight Grey,0.4277892989692297
Goose.4444,TwilightGrey,0.8633189814778363
Goose.4444,Unmatched Telegram User,-0.13384926687876791
Goose.4444,blondtrip24,-0.0631026550487165
Goose.4444,kikteam,-0.03915341547791163
Goose.4444,ladyancy96,-0.1616580815241757
Goose.4444,maverick,0.5219433647103323
Goose.4444,status@broadcast,0.12417226051566263
Jose Topgun,46708275344@s.whatsapp.net,0.6756668458599678
Jose Topgun,Bad Boy,0.5183625560397518
Jose Topgun,Big Boss,0.5707553219253855
Jose Topgun,Dadusko,0.08285716030250105
Jose Topgun,Goldfinger,0.6565865427839039
Jose Topgun,Goldfinger SOB,0.47871462827122574
Jose Topgun,Goldy Finger,0.7586714535490308
Jose Topgun,Gooooosssse,0.020598510481752638
Jose Topgun,Goose,0.6365270201382444
Jose Topgun,Goose System,0.7721757374594047
Jose Topgun,Goose.4444,0.40256823557850585
Jose Topgun,KakaoKalk,-0.21501589235910987
Jose Topgun,KakaoTalk,-0.17647530787964674
Jose Topgun,Maverick,0.652850664536089
Jose Topgun,Maverick SOB,0.7215429343048289
Jose Topgun,Maverick.4444,0.40786864250156135
Jose Topgun,Michael Jonson,-0.12959934719172103
Jose Topgun,Mike Jonson,0.117271819066326
Jose Topgun,Mike.Jonson,-0.19027762530578968
Jose Topgun,Rupert Beae,0.4459567562372842
Jose Topgun,Telegram,0.4107435448789775
Jose Topgun,Twi Grey,0.6870571036210152
Jose Topgun,Twilight G,0.6863299739814315
Jose Topgun,Twilight Grey,0.7773620272789368
Jose Topgun,TwilightGrey,0.48088452749644484
Jose Topgun,Unmatched Telegram User,0.048567011951057955
Jose Topgun,blondtrip24,-0.2668279188252196
Jose Topgun,kikteam,0.17038995243552096
Jose Topgun,ladyancy96,0.0011551927553575933
Jose Topgun,maverick,0.16490926802302602
Jose Topgun,status@broadcast,-0.021733412300449076
KakaoKalk,46708275344@s.whatsapp.net,-0.1794808954721408
KakaoKalk,Bad Boy,-0.19663427642463222
KakaoKalk,Big Boss,-0.16698207078700852
KakaoKalk,Dadusko,-0.07147416898918633
KakaoKalk,Goldfinger,-0.3036459708439647
KakaoKalk,Goldfinger SOB,-0.05555555555555555
KakaoKalk,Goldy Finger,-0.23696009342630237
KakaoKalk,Gooooosssse,-0.1201441686547177
KakaoKalk,Goose,-0.20324289270531085
KakaoKalk,Goose System,-0.1578469108248363
KakaoKalk,Goose.4444,-0.11354490488594383
KakaoKalk,Jose Topgun,-0.21501589235910987
KakaoKalk,KakaoTalk,-0.05555555555555556
KakaoKalk,Maverick,-0.20054315124076946
KakaoKalk,Maverick SOB,-0.20094521426457193
KakaoKalk,Maverick.4444,-0.16032238048243547
KakaoKalk,Michael Jonson,-0.13425956276157971
KakaoKalk,Mike Jonson,-0.11895773785772168
KakaoKalk,Mike.Jonson,-0.10635415023904661
KakaoKalk,Rupert Beae,-0.27908181129505544
KakaoKalk,Telegram,-0.11340230290662863
KakaoKalk,Twi Grey,-0.17087153154335222
KakaoKalk,Twilight G,-0.11116950152510048
KakaoKalk,Twilight Grey,-0.18223360429586924
KakaoKalk,TwilightGrey,-0.09340808971963419
KakaoKalk,Unmatched Telegram User,-0.14937635992171192
KakaoKalk,blondtrip24,-0.11903843469186959
KakaoKalk,kikteam,-0.05555555555555555
KakaoKalk,ladyancy96,-0.07909649964604157
KakaoKalk,maverick,-0.11591933675782026
KakaoKalk,status@broadcast,-0.09523809523809536
KakaoTalk,46708275344@s.whatsapp.net,-0.21695492859269766
KakaoTalk,Bad Boy,-0.15730742113970575
KakaoTalk,Big Boss,0.02414198613788077
KakaoTalk,Dadusko,-0.07147416898918633
KakaoTalk,Goldfinger,-0.14087650057964501
KakaoTalk,Goldfinger SOB,-0.05555555555555555
KakaoTalk,Goldy Finger,-0.05157366739278344
KakaoTalk,Gooooosssse,0.4753530151121439
KakaoTalk,Goose,-0.13106317380062094
KakaoTalk,Goose System,-0.15784691082483623
KakaoTalk,Goose.4444,-0.11354490488594374
KakaoTalk,Jose Topgun,-0.17647530787964677
KakaoTalk,KakaoKalk,-0.05555555555555555
KakaoTalk,Maverick,-0.06663414609916936
KakaoTalk,Maverick SOB,-0.1556729723156367
KakaoTalk,Maverick.4444,-0.11345891541833891
KakaoTalk,Michael Jonson,0.9020564373043639
KakaoTalk,Mike Jonson,-0.11895773785772162
KakaoTalk,Mike.Jonson,-0.10635415023904654
KakaoTalk,Rupert Beae,0.0952161473830189
KakaoTalk,Telegram,-0.11340230290662863
KakaoTalk,Twi Grey,0.23494835587210927
KakaoTalk,Twilight G,0.07250184882071772
KakaoTalk,Twilight Grey,0.04689835404673104
KakaoTalk,TwilightGrey,-0.09340808971963416
KakaoTalk,Unmatched Telegram User,-0.14937635992171192
KakaoTalk,blondtrip24,-0.11903843469186957
KakaoTalk,kikteam,-0.055555555555555546
KakaoTalk,ladyancy96,-0.0790964996460416
KakaoTalk,maverick,0.5366635961010195
KakaoTalk,status@broadcast,-0.09523809523809525
Maverick,46708275344@s.whatsapp.net,0.944703845511418
Maverick,Bad Boy,0.7413275625743133
Maverick,Big Boss,0.9044652169417096
Maverick,Dadusko,-0.10921970405480828
Maverick,Goldfinger,0.5222548844065332
Maverick,Goldfinger SOB,0.7368198847504305
Maverick,Goldy Finger,0.5050253540830822
Maverick,Gooooosssse,0.2988684630309397
Maverick,Goose,0.8367302631549799
Maverick,Goose System,0.9557157833196777
Maverick,Goose.4444,0.7251889808115085
Maverick,Jose Topgun,0.652850664536089
Maverick,KakaoKalk,-0.20054315124076946
Maverick,KakaoTalk,-0.06663414609916936
Maverick,Maverick SOB,0.9417528785476961
Maverick,Maverick.4444,0.6178692959332335
Maverick,Michael Jonson,-0.06266153379669279
Maverick,Mike Jonson,0.3004504191699832
Maverick,Mike.Jonson,-0.06591795835689382
Maverick,Rupert Beae,0.7034353525554874
Maverick,Telegram,0.7486132362939214
Maverick,Twi Grey,0.3629248802809228
Maverick,Twilight G,0.43647119423635633
Maverick,Twilight Grey,0.6402520458047406
Maverick,TwilightGrey,0.8236421388478289
Maverick,Unmatched Telegram User,0.12789238756676816
Maverick,blondtrip24,-0.06906034329769839
Maverick,kikteam,0.4933489663111579
Maverick,ladyancy96,-0.11913419758208345
Maverick,maverick,0.4884557378174792
Maverick,status@broadcast,-0.11944719870798906
Maverick SOB,46708275344@s.whatsapp.net,0.9251089054678729
Maverick SOB,Bad Boy,0.8083552210515601
Maverick SOB,Big Boss,0.8392796426331175
Maverick SOB,Dadusko,-0.22454720298289285
Maverick SOB,Goldfinger,0.565278578878226
Maverick SOB,Goldfinger SOB,0.666772756423352
Maverick SOB,Goldy Finger,0.4963079219972365
Maverick SOB,Gooooosssse,0.3720932736753595
Maverick SOB,Goose,0.8901371800943273
Maverick SOB,Goose System,0.9492696387035545
Maverick SOB,Goose.4444,0.625724032499463
Maverick SOB,Jose Topgun,0.7215429343048289
Maverick SOB,KakaoKalk,-0.20094521426457193
Maverick SOB,KakaoTalk,-0.1556729723156367
Maverick SOB,Maverick,0.9417528785476961
Maverick SOB,Maverick.4444,0.5808579845831058
Maverick SOB,Michael Jonson,-0.07077940522672277
Maverick SOB,Mike Jonson,0.3506233198484773
Maverick SOB,Mike.Jonson,0.041200424010786774
Maverick SOB,Rupert Beae,0.6587781760802621
Maverick SOB,Telegram,0.6679573628965876
Maverick SOB,Twi Grey,0.41564320182807907
Maverick SOB,Twilight G,0.4985673212174997
Maverick SOB,Twilight Grey,0.6475325515392666
Maverick SOB,TwilightGrey,0.7006125399125926
Maverick SOB,Unmatched Telegram User,0.06930396609600116
Maverick SOB,blondtrip24,-0.017943235853873196
Maverick SOB,kikteam,0.4705930413112998
Maverick SOB,ladyancy96,-0.10131994038579017
Maverick SOB,maverick,0.4600376878438558
Maverick SOB,status@broadcast,-0.05990913220310219
Maverick.4444,46708275344@s.whatsapp.net,0.5426835682698142
Maverick.4444,Bad Boy,0.5613367792314184
Maverick.4444,Big Boss,0.5397562073710048
Maverick.4444,Dadusko,0.38158166688116235
Maverick.4444,Goldfinger,0.12420232534805022
Maverick.4444,Goldfinger SOB,0.6832199906713015
Maverick.4444,Goldy Finger,0.23330333254572155
Maverick.4444,Gooooosssse,0.4772803254810371
Maverick.4444,Goose,0.6584528709634849
Maverick.4444,Goose System,0.6716001633218909
Maverick.4444,Goose.4444,0.6862780334084618
Maverick.4444,Jose Topgun,0.4078686425015614
Maverick.4444,KakaoKalk,-0.16032238048243547
Maverick.4444,KakaoTalk,-0.1134589154183389
Maverick.4444,Maverick,0.6178692959332336
Maverick.4444,Maverick SOB,0.5808579845831058
Maverick.4444,Michael Jonson,-0.15386101696635643
Maverick.4444,Mike Jonson,0.3479831234499134
Maverick.4444,Mike.Jonson,-0.10723059317585566
Maverick.4444,Rupert Beae,0.48803543676002453
Maverick.4444,Telegram,0.476284350125219
Maverick.4444,Twi Grey,0.2035624357701819
Maverick.4444,Twilight G,0.24999829617317734
Maverick.4444,Twilight Grey,0.3534886755274076
Maverick.4444,TwilightGrey,0.6534543660165899
Maverick.4444,Unmatched Telegram User,0.1509537044280667
Maverick.4444,blondtrip24,-0.16015682501261103
Maverick.4444,kikteam,0.07399494483804711
Maverick.4444,ladyancy96,0.5590538325648482
Maverick.4444,maverick,0.5419039096291477
Maverick.4444,status@broadcast,0.026426766013588242
Michael Jonson,46708275344@s.whatsapp.net,-0.1719643917371541
Michael Jonson,Bad Boy,-0.14553017627161788
Michael Jonson,Big Boss,0.05834326505522382
Michael Jonson,Dadusko,-0.17272963219023754
Michael Jonson,Goldfinger,-0.014017778921648663
Michael Jonson,Goldfinger SOB,-0.13425956276157974
Michael Jonson,Goldy Finger,-0.06863436848731005
Michael Jonson,Gooooosssse,0.5191567501878497
Michael Jonson,Goose,-0.008750425670589103
Michael Jonson,Goose System,-0.13188761301198404
Michael Jonson,Goose.4444,-0.22945584732328253
Michael Jonson,Jose Topgun,-0.12959934719172103
Michael Jonson,KakaoKalk,-0.13425956276157971
Michael Jonson,KakaoTalk,0.9020564373043639
Michael Jonson,Maverick,-0.06266153379669279
Michael Jonson,Maverick SOB,-0.07077940522672277
Michael Jonson,Maverick.4444,-0.15386101696635643
Michael Jonson,Mike Jonson,-0.0978236849652915
Michael Jonson,Mike.Jonson,-0.06995588700162543
Michael Jonson,Rupert Beae,0.2583735673332545
Michael Jonson,Telegram,-0.07879115315277098
Michael Jonson,Twi Grey,0.38390559138225316
Michael Jonson,Twilight G,0.27231051095506814
Michael Jonson,Twilight Grey,0.1383330098441316
Michael Jonson,TwilightGrey,-0.1682947920900107
Michael Jonson,Unmatched Telegram User,-0.10582701802743924
Michael Jonson,blondtrip24,-0.05745720043497549
Michael Jonson,kikteam,0.10489028340748417
Michael Jonson,ladyancy96,-0.05495571304747355
Michael Jonson,maverick,0.5022399978550632
Michael Jonson,status@broadcast,-0.09350219549467163
Mike Jonson,46708275344@s.whatsapp.net,0.391350216613467
Mike Jonson,Bad Boy,0.23391168708764173
Mike Jonson,Big Boss,0.13354223671349671
Mike Jonson,Dadusko,-0.15304329824785431
Mike Jonson,Goldfinger,0.2189908686756728
Mike Jonson,Goldfinger SOB,0.13217526428635737
Mike Jonson,Goldy Finger,-0.015918063064403142
Mike Jonson,Gooooosssse,0.07332457675458666
Mike Jonson,Goose,0.44920095071723554
Mike Jonson,Goose System,0.2596503753838692
Mike Jonson,Goose.4444,0.3763342201601946
Mike Jonson,Jose Topgun,0.117271819066326
Mike Jonson,KakaoKalk,-0.1189577378577217
Mike Jonson,KakaoTalk,-0.11895773785772162
Mike Jonson,Maverick,0.30045041916998316
Mike Jonson,Maverick SOB,0.3506233198484773
Mike Jonson,Maverick.4444,0.3479831234499134
Mike Jonson,Michael Jonson,-0.0978236849652915
