Sender Name,Recipient Name,Timestamp
Twi Grey,TwilightGrey,6 days 01:19:33
Twilight G,Bad Boy,2 days 06:04:18.545454545
Twilight G,Goldfinger,1 days 02:05:59.333333333
Twilight G,Maverick SOB,2 days 02:38:07.937500
Twilight Grey,Big Boss,
Twilight Grey,Goldfinger,
Twilight Grey,Goose System,2 days 10:50:45.923076923
Twilight Grey,Maverick,0 days 19:29:55
Twilight Grey,Stockholm Stealers,0 days 10:27:08.702380952
Twilight Grey,Twilight Grey,0 days 13:29:58.830985915
TwilightGrey,Big Boss,4 days 20:01:13.750000
TwilightGrey,Maverick SOB,19 days 19:56:46
Unmatched Telegram User,Big Boss,4 days 20:50:29.142857142
Unmatched Telegram User,Maverick SOB,2 days 20:09:25.833333333
blondtrip24,Mike.Jonson,0 days 00:09:23.545454545
kikteam,u44afa6f6317115c622a22eaac029f7f9,0 days 00:00:02.500000
ladyancy96,Big Boss,0 days 00:07:32.222222222
ladyancy96,Maverick SOB,0 days 00:11:02.750000
maverick,Maverick.4444,0 days 06:14:46.142857142
maverick,Mike.Jonson,
maverick,TwilightGrey,
maverick,ladyancy96,0 days 07:37:54.583333333
maverick,u44afa6f6317115c622a22eaac029f7f9,0 days 07:15:58.666666666
status@broadcast,Goldfinger,0 days 00:00:00
status@broadcast,Goose System,
status@broadcast,Maverick,0 days 13:53:20.500000
status@broadcast,Twilight Grey,0 days 13:53:20
