Sender,status@broadcast,Unmatched Telegram User,Rupert Beae,Michael Jonson,Big Boss,Maverick SOB,Telegram,Goldfinger,Goldy Finger,Goose System,Goose,Maverick,Jose Topgun,Twilight G,Dadusko,Twi Grey,Twilight Grey,46708275344@s.whatsapp.net,Bad Boy,Mike Jonson,Maverick.4444,kikteam,Goose.4444,TwilightGrey,Mike.Jonson,ladyancy96,Gooooosssse,maverick,KakaoTalk,blondtrip24,Goldfinger SOB,KakaoKalk
Goose,0.5238259158973845,,0.6345381888933449,,0.5702303141199527,0.7482198937194522,,0.608289306196523,0.6201936978323738,0.7297070677721602,0.9999999999999971,0.7344098285939186,0.6862092712530269,0.5206878203783151,,,0.5608244356118278,0.7097713933383425,0.685914883450721,,0.543437610000782,,,,,,,,,,,
Maverick,0.5355702699920977,,0.724764612333647,0.5006212599550326,0.7402088529579434,0.9007866899552163,,0.7212317458029767,0.6994137179728169,0.8859128063083531,0.7344098285939186,0.9999999999999952,0.7663661116710953,0.6038506713864058,,,0.6789891928348766,0.9782765639238453,0.8098424376010988,0.5051089881700062,0.7422047053736769,,0.5884499045574428,,0.5185542161495564,,,,,0.5337649969338873,,
Jose Topgun,0.7845050861752688,,0.8442944390000954,0.5916527721025189,0.5564962611872791,0.8254505679587905,,0.6147872237183287,0.7625948864600207,0.7464767035906658,0.6862092712530269,0.7663661116710953,,,,,0.5890171414889058,0.7337790326031192,0.6826794350771702,,0.5133920383570804,,,,,,,,,,,
Twilight G,,,,,0.656070105396397,0.6211831205215375,,,,0.5636486999138458,0.5206878203783151,0.6038506713864058,,0.9999999999999991,,,0.6302224145190943,0.5660082930570309,0.6353096814800013,,0.6477973761785771,,,,0.530883368190338,,,,,0.5008976065815818,,
Dadusko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twi Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twilight Grey,,,0.5264523614153441,,0.6353812989385913,0.6958973148852435,,0.6537062149105304,0.5786090338106746,0.6878215464836577,0.5608244356118278,0.6789891928348766,0.5890171414889058,0.6302224145190943,,,0.9999999999999984,0.6437608434678291,0.6156747168873883,,0.6200295621236991,,0.5277156485234508,,0.5133556199371273,,,,,,,
46708275344@s.whatsapp.net,0.5175543269217214,,0.7015477988605268,,0.6969927923390017,0.8505422218016738,,0.6982288693135608,0.6736501757931456,0.8625615845984345,0.7097713933383425,0.9782765639238453,0.7337790326031192,0.5660082930570309,,,0.6437608434678291,0.9999999999999996,0.7682229070004772,,0.7012007841911592,,0.5531392682867147,,,,,,,,,
Bad Boy,,,0.6136893483457481,,0.7390884656959129,0.8551402989562232,,0.623266622768414,0.5983798283585329,0.7800373786594849,0.685914883450721,0.8098424376010988,0.6826794350771702,0.6353096814800013,,,0.6156747168873883,0.7682229070004772,0.9999999999999977,,0.715584262481028,,0.519277169842791,,0.5406264645009179,,,,,0.5290767161391722,,
Mike Jonson,,,,,0.5453294336764343,0.5024344331184664,,,,,,0.5051089881700062,,,,,,,,,0.5706824320332262,,,,,,,,,,,
Maverick.4444,,0.6226779745731832,,,0.7921358577681017,0.7304892391249606,,0.5804999214815691,,0.716740914418797,0.543437610000782,0.7422047053736769,0.5133920383570804,0.6477973761785771,,,0.6200295621236991,0.7012007841911592,0.715584262481028,0.5706824320332262,,0.5023651221974385,0.5323836154562371,,0.6956271353970356,0.5716201511389486,0.546213103162236,,,0.6589569127840883,,
kikteam,,,,,0.5092588379184578,,,,,,,,,,,,,,,,0.5023651221974385,,,,,,,,,,,
Goose.4444,,,,,0.6125656418404656,0.5830629454360963,,0.5169101761723492,,0.5323802992903012,,0.5884499045574428,,,,,0.5277156485234508,0.5531392682867147,0.519277169842791,,0.5323836154562371,,0.9999999999999988,,,,,,,0.5192419538225757,,
TwilightGrey,,,,,,,,,,,,,,,,,,,,,,,,0.9999999999999999,,,,,,,,
Mike.Jonson,,,,,0.655730265168021,0.5648567343488119,,,,0.5166183639562408,,0.5185542161495564,,0.530883368190338,,,0.5133556199371273,,0.5406264645009179,,0.6956271353970356,,,,0.9999999999999996,0.6258243861875835,,,,0.6679609441900926,,
ladyancy96,,,,,0.5892929541021197,,,,,,,,,,,,,,,,0.5716201511389486,,,,0.6258243861875835,0.9999999999999983,,,,0.817508780095434,,
Gooooosssse,,,,,0.542531094003886,,,,,,,,,,,,,,,,0.546213103162236,,,,,,,,,,,
maverick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KakaoTalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blondtrip24,,,,,0.6697517217490669,0.5687310343863157,,,,,,0.5337649969338873,,0.5008976065815818,,,,,0.5290767161391722,,0.6589569127840883,,0.5192419538225757,,0.6679609441900926,0.817508780095434,,,,,,
Goldfinger SOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KakaoKalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
